id,userid,message,ts_created
4817910549973967,6339251717,记录一下合肥一日游[送花花][送花花],2022-09-26 11:27:30
4817738155690682,6080243764,真诚才是爱的秘密,2022-09-26 00:02:28
4819531555412098,5867909333,回家[给力],2022-09-30 22:48:48
4818048550179045,3289196050,躺平大师,2022-09-26 20:35:52
4819813207117305,6495662753,终于[泪],2022-10-01 17:27:59
4820613846275115,2948219462,抖音滤镜真强大[威武][哈哈],2022-10-03 22:29:26
4819157139069097,6450816785,🌆,2022-09-29 22:01:00
4819835944701603,5914111672,安徽大学 双拼吨吨桶！！！,2022-10-01 18:58:20
4820925997908750,5357259955,小十四到家第一天[哈哈] 拆家潜力满满[doge],2022-10-04 19:09:48
4820992797442096,6287612653,你所清楚遇见的、热切渴望的、真诚追求的、全心全意争取的，终将自然而然的实现。 真的感谢过去一年的努力，坚定的走过来了，尽管活的真的很不堪很狼狈，也失去了很多，但同时也收获了好多，成功上岸，赚了点钱，买了喜欢的东西，还遇到不错的室友，也开始慢慢认清自己，接受自己，开启了我想要的生活 ...全文,2022-10-04 23:35:14
4820225503265120,6111681438,行かないで (请别走),2022-10-02 20:46:17
4821245700345732,1797494961,一秒入冬[黑线],2022-10-05 16:20:12
4820553606890158,2277126512,崔岗艺术村和音乐小镇，看着就落败了，真是可惜。[苦涩]#高分电影##遇见美好##电影正当夏##带着微博去旅行##影视剪辑##不可辜负的美食##好好吃饭#,2022-10-03 18:30:03
4818359961783648,5629348740,十月了。,2022-09-27 17:13:18
4819787060612605,5694694744,分享图片,2022-10-01 15:44:05
4821355415733142,7620254930,[举手],2022-10-05 23:36:10
4819046791645209,5521610904,先帝创业未半而中道捐款20！#plog##日常碎片plog##就这一刻#,2022-09-29 14:42:31
4820819295601209,5820249553,假期结束,2022-10-04 12:05:48
4820609823675608,5624036431,这空调好几年没人清理很脏，不太制冷我今天把网清理一下，忘记把清洗的脏水拍下 #企业宣传片  #劲舞团  #音乐,2022-10-03 22:13:27
4819557945970503,7765794833,早下班的一天迎接明天国庆节假期，回去的路上买了杯果茶，天空都变得美丽，微风拂过，去购物买买买，吃东西吃吃吃，[嘻嘻],2022-10-01 00:33:40
4820839377408616,7459529857,今天的猫耳朵山是云雾缭绕的,2022-10-04 13:25:37
4821663331915582,3259572701,大口吃肉小口抿酒,2022-10-06 19:59:43
4818345352758061,6535248079,邻家小狗想约金毛出去玩，跑到其耳边说悄悄话，网友：金毛听完眼睛都睁大了 #刚刚知道#,2022-09-27 16:15:15
4819389687531115,5579593158,#国庆七天下7天雨是什么体验# 笑死了 点开看看是哪这么倒霉结果发现是自己家[开学季][开学季]幸好我不在家哈哈哈哈哈,2022-09-30 13:25:04
4818835432015712,5941612328,6,2022-09-29 00:42:39
4821897159906334,2812983603,给一点时间给自己,2022-10-07 11:28:52
4818759451672907,6296248921,快到国庆了～,2022-09-28 19:40:43
4820877101502112,5226502767,此时此刻,2022-10-04 15:55:31
4821550307477259,6987450530,@今日吃啥：#苏式汤面# 苏州人三大爱好 喝茶 吃面 听评弹 #美食分享#汤面🍜,2022-10-06 12:30:36
4820225591614451,2127355610,同病房的一个小女孩 4岁 从安庆紧急转院来的  总是乖乖的躺在那里 连做气管镜都出奇的配合  和又哭又闹的陈悦兮形成鲜明对比 和小孩妈妈闲聊  说这是二宝，姐姐比她大九岁  一直在强势姐姐的欺压下长大  对于叛离期的姐姐  全家人都是敢怒不敢言  妹妹也很有自知之明  一直比较懂事 今天下午吊水，医生说吊这个水会比较疼  吊了一会突然听到小女孩大哭着喊疼，说不要吊水，太疼了 她妈妈在旁边哄也不起作用 我想拿着玩具送去哄她的时候  看到她蜷缩在床上，疼的满头的汗水，脸也涨得通红  看她难受的样子  我瞬间眼泪就忍不住夺眶而出  哭声引来医生，发现她吊水的手已经红肿 赶紧拔掉，让她休息一会再吊  妈妈抱着她，哄她说我们打电话给姐姐，你想姐姐了吧  她挂着眼泪小声的说，你打电话让爸爸打姐姐  听的我又想哭又想笑,2022-10-02 20:46:39
4820431700232395,6361820279,- 仅有一次的人生 当然要活的炽热.,2022-10-03 10:25:39
4818338167653841,1998410514,当是家家幸福人，当是人间幸福家[喜],2022-09-27 15:46:42
4822013993291976,1668490862,今天的砖，有点甜[挤眼] 当然，能不搬更好[doge],2022-10-07 19:13:07
4822004048595036,5851879646,十一最后一天#国庆假期最后一天# 动物园慢走[可爱],2022-10-07 18:33:36
4821675663687898,7461559556,bye~🚘,2022-10-06 20:48:42
4820784974137606,7397248802,肥家咯[开学季],2022-10-04 09:49:26
4821258174205511,6399118902,粉粉嫩嫩 好冷好冷[举手],2022-10-05 17:09:46
4817891301523649,6523543250,在这样的阳台我真的能待上一天#家居装修##装修设计##阳台#,2022-09-26 10:11:00
4822430302867780,6049960346,换了个发色🌧️,2022-10-08 22:47:23
4821330967139881,6348908317,怎么会不累呢 满心欲望 两手空空 心事重重[困],2022-10-05 21:59:01
4820698281542151,6960047035,夜班回家途中，惊讶施工进度如此之快，城市的发展，离不开工人师傅们夜以继日的劳动。这个背影很酷，salute[给力],2022-10-04 04:04:57
4822404880143563,5994544631,［冲刷］［相伴］［期待］,2022-10-08 21:06:22
4821228626118075,1748420792,分享视频,2022-10-05 15:12:21
4819009314226269,5865628134,平时不生气，不代表没有脾气,2022-09-29 12:13:35
4820275139185228,6977052549,真的不知道哪次会是最后一面,2022-10-03 00:03:32
4822028438209999,6066476414,又到冬天了,2022-10-07 20:10:31
4821235819613090,1738769137,回家喽 有点开心 🥳,2022-10-05 15:40:56
4821013667515749,7611846011,顺从自己内心。,2022-10-05 00:58:11
4822148940300331,5536878704,人心是不待风吹而自落的花,2022-10-08 04:09:20
4819449662412050,5795363988,最后一天终于结束辽 给我累💨,2022-09-30 17:23:23
4818803652041362,6627574635,家里有事都不能离肥（中指）,2022-09-28 22:36:22
4820525609912314,6220584191,我只做我喜欢做的事情呢～,2022-10-03 16:38:49
4819431317045355,2365529047,迎接新航道……[doge][doge],2022-09-30 16:10:28
4818802518263049,7764977819,好累,2022-09-28 22:31:52
4818660802172217,5634620988,在合肥四年才发现有这么好吃的烤肉 在合肥的最后一年再让我发现多点美食吧[月亮代表我的心],2022-09-28 13:08:44
4818454944946103,5362347907,靠北啦,2022-09-27 23:30:44
4821217430736035,5499954789,国庆40度到20度到14度[困],2022-10-05 14:27:52
4821529769018681,2567604953,合肥真的没有春秋，只有夏冬，这个天冷的想穿羽绒服🙉,2022-10-06 11:08:59
4822198471361152,6567984336,虽然今天课很多 但还是吃了5.2[嘻嘻],2022-10-08 07:26:10
